sensitivity_subset,excluded_query_buckets,repo_count,base_repo_count,base_repo_share,downstream_repo_count,downstream_repo_share,quantized_or_deployment_share,finetune_share,adapter_lora_share,merge_mixed_share
all_query_buckets,none,191375,48543,0.25365382103200523,142832,0.7463461789679948,0.2792527759634226,0.1925486610058785,0.18363422599608098,0.09091051600261267
exclude_deployment_format_bucket,deployment_format,154058,42643,0.2767983486738761,111415,0.7232016513261239,0.18990899531345337,0.21844370302094016,0.21970296901167094,0.09514598398005945
exclude_derivation_or_tuning_bucket,derivation_or_tuning,160387,43916,0.27381271549439795,116471,0.7261872845056021,0.31740103624358584,0.18824468317257634,0.1612038382163143,0.05933772687312563
exclude_deployment_and_derivation_buckets,"deployment_format, derivation_or_tuning",123070,38016,0.3088973754773706,85054,0.6911026245226294,0.21712846347607054,0.21935483870967742,0.19955309986186723,0.05506622247501422
exclude_family_name_bucket,family_name,171138,42361,0.2475253888674637,128777,0.7524746111325363,0.2847175963257722,0.1939019972186189,0.18334326683728921,0.09051175075085603
size_domain_family_only,"deployment_format, derivation_or_tuning, other_or_unmapped",122528,37772,0.30827239488117003,84756,0.69172760511883,0.21707691303212326,0.21976201358056935,0.19970945416557848,0.05517922434055889
