repo_type,audited_predicted_rows,strict_precision,strict_precision_wilson_low,strict_precision_wilson_high,usable_rows_excluding_ambiguous,usable_precision,usable_precision_wilson_low,usable_precision_wilson_high,audit_sample_recall,audit_sample_recall_wilson_low,audit_sample_recall_wilson_high,recall_denominator_note
base,60,0.7166666666666667,0.5923247495026482,0.8149332139569141,47,0.9148936170212766,0.8006819480497736,0.9664064205302869,1.0,0.9179874299767729,1.0,"Recall is computed inside the balanced audit sample, not as a population-representative recall estimate."
finetune,60,1.0,0.9398260695220669,0.9999999999999999,60,1.0,0.9398260695220669,0.9999999999999999,0.6896551724137931,0.5861598330932992,0.7771098583256103,"Recall is computed inside the balanced audit sample, not as a population-representative recall estimate."
adapter_lora,60,1.0,0.9398260695220669,0.9999999999999999,60,1.0,0.9398260695220669,0.9999999999999999,0.9836065573770492,0.9128093437223194,0.997100343885636,"Recall is computed inside the balanced audit sample, not as a population-representative recall estimate."
merge_mixed,60,0.55,0.42491714548981496,0.6690654614623918,41,0.8048780487804879,0.6598611764744329,0.8976568425079408,0.9705882352941176,0.8508409778365519,0.9947892280744034,"Recall is computed inside the balanced audit sample, not as a population-representative recall estimate."
quantized_or_deployment,60,1.0,0.9398260695220669,0.9999999999999999,60,1.0,0.9398260695220669,0.9999999999999999,0.8,0.6958850544883829,0.8748796179687971,"Recall is computed inside the balanced audit sample, not as a population-representative recall estimate."
